Field	Units	Description
profile_tdr31X_E_Avg(1)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_E_Avg(2)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_E_Avg(3)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_E_Avg(4)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_E_Avg(5)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_E_Avg(6)	unitless	Average soil permittivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_bulkEC_Avg(1)	uS/cm	Average bulk electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_bulkEC_Avg(2)	uS/cm	Average bulk electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_bulkEC_Avg(3)	uS/cm	Average bulk electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_bulkEC_Avg(4)	uS/cm	Average bulk electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_bulkEC_Avg(5)	uS/cm	Average bulk electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_bulkEC_Avg(6)	uS/cm	Average bulk electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_poreEC_Avg(1)	uS/cm	Average pore water electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_poreEC_Avg(2)	uS/cm	Average pore water electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_poreEC_Avg(3)	uS/cm	Average pore water electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_poreEC_Avg(4)	uS/cm	Average pore water electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_poreEC_Avg(5)	uS/cm	Average pore water electrical conductivity for each sensor; i identifies which TDR3x sensor
profile_tdr31X_poreEC_Avg(6)	uS/cm	Average pore water electrical conductivity for each sensor; i identifies which TDR3x sensor
shf_plate_avg(1)	W/m^2	Average soil heat flux; i identifies which sensor
shf_plate_avg(2)	W/m^2	Average soil heat flux; i identifies which sensor
shf_plate_avg(3)	W/m^2	Average soil heat flux; i identifies which sensor
shf_plate_avg(4)	W/m^2	Average soil heat flux; i identifies which sensor
SHFP_1_SENS	uv/W/m^2	Heat flux plate #1 calibration factor
SHFP_2_SENS	uv/W/m^2	Heat flux plate #2 calibration factor
SHFP_3_SENS	uv/W/m^2	Heat flux plate #3 calibration factor
SHFP_4_SENS	uv/W/m^2	Heat flux plate #4 calibration factor
shf_plate_cal(1)	unitless	Coefficients found from the HFP01SC self-calibration and used to calculate shf_plate_Avg(i); i indicates which sensor
shf_plate_cal(2)	unitless	Coefficients found from the HFP01SC self-calibration and used to calculate shf_plate_Avg(i); i indicates which sensor
shf_plate_cal(3)	unitless	Coefficients found from the HFP01SC self-calibration and used to calculate shf_plate_Avg(i); i indicates which sensor
shf_plate_cal(4)	unitless	Coefficients found from the HFP01SC self-calibration and used to calculate shf_plate_Avg(i); i indicates which sensor
